
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare"

="perc_tract_d",="0.130***",="0.113***",="0.108***",="0.105***",="0.101***",="0.0981***",="0.0950***",="0.0929***",="0.0909***",="0.0892***",="0.0872***",="0.0848***",="0.0826***",="0.0813***",="0.0794***",="0.0774***",="0.0762***",="0.0758***",="0.0740***",="0.0739***",="0.0711***"
="",="(0.00338)",="(0.00343)",="(0.00345)",="(0.00346)",="(0.00348)",="(0.00349)",="(0.00350)",="(0.00352)",="(0.00353)",="(0.00355)",="(0.00358)",="(0.00361)",="(0.00364)",="(0.00368)",="(0.00374)",="(0.00381)",="(0.00388)",="(0.00397)",="(0.00414)",="(0.00437)",="(0.00543)"

="_cons",="0.717***",="0.730***",="0.733***",="0.736***",="0.739***",="0.741***",="0.744***",="0.746***",="0.748***",="0.750***",="0.752***",="0.755***",="0.757***",="0.759***",="0.761***",="0.763***",="0.765***",="0.767***",="0.771***",="0.775***",="0.786***"
="",="(0.00148)",="(0.00155)",="(0.00157)",="(0.00159)",="(0.00162)",="(0.00164)",="(0.00166)",="(0.00169)",="(0.00172)",="(0.00175)",="(0.00178)",="(0.00183)",="(0.00187)",="(0.00192)",="(0.00199)",="(0.00206)",="(0.00215)",="(0.00226)",="(0.00240)",="(0.00260)",="(0.00345)"

="N",="16352",="14582",="14070",="13627",="13217",="12814",="12402",="11999",="11571",="11165",="10650",="10124",="9655",="9164",="8617",="8058",="7434",="6744",="6073",="5196",="3000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
