
="",="(1)",="(2)",="(3)",="(4)"
="",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare",="tract_dvoteshare"

="perc_tract_d",="0.0740***",="",="0.0892***",="0.111***"
="",="(0.00466)",="",="(0.00566)",="(0.0106)"

="perc_tract_c_plus_d",="",="0.0540***",="",=""
="",="",="(0.00495)",="",=""

="perc_tract_c",="",="",="0.0256***",="0.0472***"
="",="",="",="(0.00540)",="(0.0103)"

="perc_tract_b",="",="",="",="0.0285**"
="",="",="",="",="(0.0116)"

="_cons",="0.771***",="0.752***",="0.755***",="0.733***"
="",="(0.00228)",="(0.00409)",="(0.00405)",="(0.00972)"

="N",="6073",="6073",="6073",="6073"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
